matches_played,goals,assists,pass_accuracy,speed,positioning,stamina,physicality,performance_class
20,16,5,89,8,9,9,8,Excellent
23,18,3,85,10,10,8,8,Excellent
20,17,8,78,9,9,9,9,Excellent
32,20,5,90,8,9,9,9,Excellent
19,17,14,84,8,10,8,8,Excellent
15,10,8,76,8,8,6,7,Good
13,9,3,76,6,6,8,6,Good
9,8,8,72,7,5,5,8,Good
15,14,4,81,8,9,7,7,Good
8,5,7,78,6,7,5,6,Good
10,5,0,66,5,4,7,5,Average
5,1,3,60,4,3,4,4,Average
13,4,4,69,5,4,5,5,Average
9,1,4,67,6,4,6,4,Average
7,6,2,62,3,4,7,5,Average
9,0,1,54,4,5,4,3,Poor
8,0,0,50,4,2,3,4,Poor
7,4,0,60,4,3,3,5,Poor
5,2,0,60,2,3,5,3,Poor
6,2,1,54,2,4,4,1,Poor
