Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref,Role,Selected
219,Peter Handscomb,2017–2019,22.0,20.0,1.0,632,117,33.26,01-Apr,0,0.0,0,0.0,,,0.0,14.0,0.0,[225],Batsman,0
220,Sam Heazlett,2017,1.0,1.0,0.0,4,4,4.0,0/0,0,0.0,0,0.0,,,0.0,0.0,0.0,[226],Batsman,0
221,Hilton Cartwright,2017,2.0,2.0,0.0,2,1,1.0,0/0,0,0.0,0,0.0,,,0.0,1.0,0.0,[227],Batsman,0
222,Andrew Tye,2018,7.0,7.0,3.0,57,19,14.25,0/0,387,0.0,392,12.0,May-46,32.66,1.0,1.0,0.0,[228],Batsman,0
223,Alex Carey,2018–,85.0,77.0,13.0,"2,245",106,35.07,Jan-13,0,0.0,0,0.0,,,0.0,95.0,9.0,[229],Wicketkeeper,1
224,Jhye Richardson,2018–2022,15.0,9.0,4.0,93,29,18.6,0/0,810,11.0,793,27.0,Apr-26,29.37,0.0,5.0,0.0,[230],Bowler,1
225,Michael Neser,2018–2023,2.0,2.0,0.0,8,6,4.0,0/0,100,1.0,120,2.0,Feb-46,60.0,0.0,0.0,0.0,[231],Batsman,0
226,D'Arcy Short,2018–2020,8.0,8.0,1.0,211,69,30.14,0/1,90,0.0,114,0.0,,,0.0,2.0,0.0,[232],Batsman,0
227,Jason Behrendorff,2019–2022,12.0,6.0,3.0,21,11*,7.0,0/0,645,7.0,568,16.0,May-44,35.5,1.0,3.0,0.0,[233],Batsman,0
228,Ashton Turner,2019–,9.0,7.0,1.0,192,84*,32.0,0/1,84,1.0,60,2.0,Jan-23,30.0,0.0,4.0,0.0,[234],Batsman,1
229,Marnus Labuschagne,2020–,66.0,58.0,4.0,"1,871",124,34.64,02-Dec,323,1.0,358,10.0,Mar-39,35.8,0.0,41.0,0.0,[235],Batsman,0
230,Cameron Green,2020–,31.0,27.0,9.0,782,118*,43.44,01-Feb,814,0.0,784,20.0,May-33,39.2,1.0,21.0,0.0,[236],AllRounder,1
231,Wes Agar,2021,2.0,2.0,0.0,50,41,25.0,0/0,66,1.0,39,0.0,,,0.0,0.0,0.0,[237],Batsman,0
232,Ben McDermott,2021–2023,5.0,5.0,0.0,223,104,44.6,01-Jan,,,,,,,,0.0,0.0,[238],Batsman,1
233,Josh Philippe,2021–,4.0,4.0,0.0,102,39,25.5,0/0,,,,,,,,4.0,0.0,[239],Batsman,0
234,Riley Meredith,2021–,1.0,1.0,1.0,0,0*,,0/0,30,0.0,36,0.0,,,0.0,0.0,0.0,[240],Batsman,0
235,Nathan Ellis,2022–,17.0,12.0,4.0,106,18,13.25,0/0,837,4.0,779,18.0,Feb-13,43.27,0.0,4.0,0.0,[241],Batsman,0
236,Mitchell Swepson,2022,2.0,0.0,0.0,0,,,0/0,98,0.0,103,2.0,Feb-53,51.5,0.0,0.0,0.0,[242],Batsman,0
237,Matthew Kuhnemann,2022–,5.0,2.0,0.0,16,15,8.0,0/0,252,3.0,217,8.0,Feb-26,27.12,0.0,2.0,0.0,[243],Batsman,0
238,Josh Inglis,2022–,33.0,29.0,3.0,766,120*,29.46,01-Apr,0,0.0,0,0.0,,,0.0,30.0,4.0,[244],Wicketkeeper,1
239,Aaron Hardie,2023–,15.0,12.0,0.0,180,44,15.0,0/0,426,5.0,392,10.0,Feb-13,39.2,0.0,6.0,0.0,[245],Batsman,1
240,Tim David,2023–,4.0,4.0,0.0,45,35,11.25,0/0,12,0.0,20,1.0,Jan-20,20.0,0.0,0.0,0.0,[246],Batsman,1
241,Tanveer Sangha,2023–,4.0,3.0,2.0,6,5*,6.0,0/0,174,0.0,200,2.0,Jan-61,100.0,0.0,0.0,0.0,[247],Batsman,0
242,Matthew Short,2023–,18.0,16.0,0.0,392,74,24.5,0/3,336,0.0,323,2.0,Jan-39,161.5,0.0,7.0,0.0,[248],Batsman,1
243,Spencer Johnson,2023–,5.0,3.0,2.0,12,12*,12.0,0/0,240,0.0,236,4.0,Feb-44,59.0,0.0,0.0,0.0,[249],Batsman,0
244,Xavier Bartlett,2024–,5.0,2.0,0.0,11,8,5.5,0/0,247,3.0,167,15.0,Apr-17,11.13,0.0,0.0,0.0,[250],Batsman,0
245,Lance Morris,2024–,3.0,1.0,0.0,,,,,123,3.0,96,4.0,Feb-13,24.0,0.0,1.0,0.0,[251],Batsman,0
246,Jake Fraser-McGurk,2024–,7.0,7.0,0.0,98,41,14.0,0/0,0,0.0,0,0.0,,,0.0,3.0,0.0,[252],Batsman,0
247,Will Sutherland,2024–,2.0,1.0,0.0,18,18,18.0,0/0,51,0.0,33,2.0,Feb-28,16.5,0.0,1.0,0.0,[253],AllRounder,0
248,Ben Dwarshuis,2024–,6.0,3.0,0.0,61,33,20.33,0/0,294,1.0,270,11.0,Mar-47,24.54,0.0,1.0,0.0,[254],Bowler,0
249,Cooper Connolly,2024–,8.0,5.0,2.0,94,61*,31.33,0/1,156,0.0,137,6.0,May-22,22.83,1.0,2.0,0.0,[255],AllRounder,0
250,Mitchell Owen,2025–,3.0,2.0,0.0,37,36,18.5,0/0,36,0.0,42,2.0,Feb-20,21.0,0.0,0.0,0.0,[256],Batsman,0
251,Matt Renshaw,2025–,3.0,3.0,1.0,107,56,53.5,0/1,0,0.0,0,0.0,,,0.0,3.0,0.0,[257],Batsman,0
252,Oliver Peake,2026–,,,,,,,,,,,,,,,,,,Batsman,0
253,Liam Scott,2026–,,,,,,,,,,,,,,,,,,Batsman,0
